,Time,Acc_x,Acc_y,Acc_z
194,1603920571184,-149,-475,1888
195,1603920571234,8,-436,1395
196,1603920571284,-1876,-1868,1792
197,1603920571334,-2048,-1581,2047
198,1603920571384,-2048,-2048,2047
199,1603920571434,-2048,-2048,2047
200,1603920571484,-503,-641,2047
201,1603920571534,738,-65,2047
202,1603920571584,798,-335,2047
203,1603920571634,373,-1079,2047
204,1603920571684,78,-1045,2047
205,1603920571734,262,-823,1746
206,1603920571784,-603,-1578,1484
207,1603920571834,-1302,-1839,1022
208,1603920571884,-1452,-1128,558
209,1603920571934,-1886,-1215,622
210,1603920571984,-1573,-1449,530
211,1603920572034,-1415,-240,605
212,1603920572084,-2031,-336,479
213,1603920572134,-1833,-1452,-44
214,1603920572184,-2048,-833,-421
215,1603920572234,-2048,406,-941
216,1603920572284,-2048,597,-2019
217,1603920572334,-2048,-830,-2048
218,1603920572384,-2048,-192,-2048
219,1603920572434,-2048,-964,-1201
220,1603920572484,2047,497,853
221,1603920572534,-2048,-2048,2047
222,1603920572584,-2048,2047,2047
223,1603920572634,-1362,951,2047
224,1603920572684,-936,243,1127
225,1603920572734,-574,65,704
226,1603920572784,-803,46,1004
227,1603920572834,-311,-143,1248
228,1603920572884,24,-444,1711
229,1603920572934,-240,-54,1708
230,1603920572984,36,-497,1424
231,1603920573034,-2048,-1528,2047
232,1603920573084,-2048,-1996,2047
233,1603920573134,-2048,-2048,1969
234,1603920573184,-2048,-2048,1932
235,1603920573234,-1953,-1635,2047
236,1603920573284,5,-203,2047
237,1603920573334,-176,-694,2047
238,1603920573384,-1,-1524,2047
239,1603920573434,-276,-1928,2047
240,1603920573484,319,-1555,2047
241,1603920573534,237,-184,1177
242,1603920573584,-843,-455,1030
243,1603920573634,-1378,-967,896
244,1603920573684,-1562,-866,653
245,1603920573734,-1196,-1085,668
246,1603920573784,-1597,-452,1095
247,1603920573834,-2048,-160,1062
248,1603920573884,-2048,-1293,717
249,1603920573934,-2048,-1737,214
250,1603920573984,-2048,975,-769
251,1603920574034,-2048,-711,-2048
252,1603920574084,-2048,-929,-2048
253,1603920574134,-2048,-363,-2048
254,1603920574184,-1578,-1175,-988
255,1603920574234,-2048,61,1964
256,1603920574284,-2048,800,2047
257,1603920574334,-2048,254,512
258,1603920574384,-1498,-228,437
259,1603920574434,-558,-324,850
260,1603920574484,-169,-702,1261
261,1603920574534,-644,-67,1032
262,1603920574584,-160,77,1610
263,1603920574634,-49,-76,1703
264,1603920574684,143,-85,1325
265,1603920574734,-1262,-650,1484
266,1603920574784,-2048,-2048,2047
267,1603920574834,-2048,-2048,2047
268,1603920574884,37,-493,732
269,1603920574934,-1118,-220,2047
270,1603920574984,153,-1562,2047
271,1603920575034,29,-731,2047
272,1603920575084,-377,-909,2047
273,1603920575134,789,-1479,2047
274,1603920575184,494,-1613,2047
275,1603920575234,383,-1351,2047
276,1603920575284,-153,-1103,1643
277,1603920575334,-1005,-1243,1012
278,1603920575384,-1363,-1163,680
279,1603920575434,-1842,-1264,688
280,1603920575484,-1776,-1520,798
281,1603920575534,-1645,-326,874
282,1603920575584,-2048,707,818
283,1603920575634,-2048,-2048,953
284,1603920575684,-2048,-1551,566
285,1603920575734,-2048,1312,-594
286,1603920575784,-2048,602,-2048
287,1603920575834,-2048,-1232,-2048
288,1603920575884,-2048,416,-2048
289,1603920575934,565,-2048,-1755
290,1603920575984,-2048,-1360,2047
291,1603920576034,-2048,-1309,762
292,1603920576084,-2048,91,781
293,1603920576134,239,1291,254
294,1603920576184,-827,751,666
295,1603920576234,-79,-1143,1235
296,1603920576284,-314,351,1288
297,1603920576334,-318,-61,1569
298,1603920576384,-24,-12,1823
299,1603920576434,-98,31,1470
300,1603920576484,-731,-586,1506
301,1603920576534,-2048,-1931,2047
302,1603920576584,-2048,-2048,1727
303,1603920576634,-954,-2048,1195
304,1603920576684,-2048,-683,2047
305,1603920576734,-544,-656,2047
306,1603920576784,-199,-327,2047
307,1603920576834,-508,-731,2047
308,1603920576884,75,-1279,2047
309,1603920576934,-50,-1662,2047
310,1603920576984,39,-1354,2047
311,1603920577034,-156,-1292,1102
312,1603920577084,-741,-1443,500
313,1603920577134,-1161,-1166,389
314,1603920577184,-1592,-1316,533
315,1603920577234,-1393,-1298,574
316,1603920577284,-1374,-624,851
317,1603920577334,-2033,-182,1125
318,1603920577384,-2048,-2048,955
319,1603920577434,-2048,-1660,402
320,1603920577484,-2048,1552,-1099
321,1603920577534,-2048,133,-1695
322,1603920577584,-2048,-1199,-2048
323,1603920577634,-2048,272,-2048
324,1603920577684,26,-2048,-1102
325,1603920577734,-2048,2003,2047
326,1603920577784,-2048,-1545,2047
327,1603920577834,-2048,-61,1050
328,1603920577884,-1443,-445,-473
329,1603920577934,-569,-185,1237
330,1603920577984,-586,-275,1148
331,1603920578034,-580,423,1166
332,1603920578084,4,-714,1616
333,1603920578134,95,-335,1833
334,1603920578184,-56,289,1531
335,1603920578234,-758,-852,1464
336,1603920578284,-2048,-1843,2047
337,1603920578334,-2048,-2048,1919
338,1603920578384,-2048,-2048,1727
339,1603920578434,-2048,-2048,2047
340,1603920578484,-2048,368,2047
341,1603920578534,-41,-357,2047
342,1603920578584,-682,-1052,2047
343,1603920578634,-591,-1255,2047
344,1603920578684,-365,-1509,2047
345,1603920578734,-3,-1490,2047
346,1603920578784,-68,-933,1190
347,1603920578834,-911,-841,811
348,1603920578884,-1334,-1306,563
349,1603920578934,-1527,-1066,434
350,1603920578984,-1438,-839,576
351,1603920579034,-1595,-447,946
352,1603920579084,-2048,-88,1102
353,1603920579134,-2048,-1378,1007
354,1603920579184,-2048,-1345,-74
355,1603920579234,-2048,36,-1628
356,1603920579284,-2048,-386,-2048
357,1603920579334,-2048,-430,-2048
358,1603920579384,-2048,-297,-2048
359,1603920579434,-2048,-1360,-2048
360,1603920579484,-2048,-2048,2047
361,1603920579534,283,2047,1829
362,1603920579584,-1745,-2048,296
363,1603920579634,-1443,-1742,1022
364,1603920579684,-420,36,1088
365,1603920579734,-727,-402,934
366,1603920579784,-596,92,1097
367,1603920579834,-353,-20,1586
368,1603920579884,60,348,1706
369,1603920579934,-175,119,1329
370,1603920579984,-1028,-790,1488
371,1603920580034,-2048,-1592,1806
372,1603920580084,-2048,-2048,1876
373,1603920580134,-838,-1469,1349
374,1603920580184,-2048,-851,2047
375,1603920580234,-413,-1915,2047
376,1603920580284,97,-689,2047
377,1603920580334,-488,-1469,2047
378,1603920580384,281,-2048,2047
379,1603920580434,-1,-2048,2047
380,1603920580484,153,-2048,1869
381,1603920580534,-18,-472,1081
382,1603920580584,-856,-739,929
383,1603920580634,-1393,-1317,917
384,1603920580684,-1802,-834,748
385,1603920580734,-1407,-1125,680
386,1603920580784,-1664,-452,974
387,1603920580834,-2048,-240,944
388,1603920580884,-2048,-1533,690
389,1603920580934,-2048,-1374,358
390,1603920580984,-2048,865,-645
391,1603920581034,-2048,-99,-2048
392,1603920581084,-2048,-1084,-2048
393,1603920581134,-2048,907,-2048
394,1603920581184,-2048,-1324,-1675
395,1603920581234,-256,1653,2047
396,1603920581284,-2048,-174,2047
397,1603920581334,90,2047,1552
398,1603920581384,-1973,-547,2047
399,1603920581434,-615,2047,1131
400,1603920581484,-116,-144,1140
401,1603920581534,-603,-4,1084
402,1603920581584,-236,102,1313
403,1603920581634,190,-206,1770
404,1603920581684,-38,140,1696
405,1603920581734,-77,-322,1251
406,1603920581784,-1907,-1467,1759
407,1603920581834,-2048,-2048,1901
