,Time,Acc_x,Acc_y,Acc_z
194,1603922289745,-149,-475,1888
195,1603922289795,8,-436,1395
196,1603922289845,-1876,-1868,1792
197,1603922289895,-2048,-1581,2047
198,1603922289945,-2048,-2048,2047
199,1603922289995,-2048,-2048,2047
200,1603922290045,-503,-641,2047
201,1603922290095,738,-65,2047
202,1603922290145,798,-335,2047
203,1603922290195,373,-1079,2047
204,1603922290245,78,-1045,2047
205,1603922290295,262,-823,1746
206,1603922290345,-603,-1578,1484
207,1603922290395,-1302,-1839,1022
208,1603922290445,-1452,-1128,558
209,1603922290495,-1886,-1215,622
210,1603922290545,-1573,-1449,530
211,1603922290595,-1415,-240,605
212,1603922290645,-2031,-336,479
213,1603922290695,-1833,-1452,-44
214,1603922290745,-2048,-833,-421
215,1603922290795,-2048,406,-941
216,1603922290845,-2048,597,-2019
217,1603922290895,-2048,-830,-2048
218,1603922290945,-2048,-192,-2048
219,1603922290995,-2048,-964,-1201
220,1603922291045,2047,497,853
221,1603922291095,-2048,-2048,2047
222,1603922291145,-2048,2047,2047
223,1603922291195,-1362,951,2047
224,1603922291245,-936,243,1127
225,1603922291295,-574,65,704
226,1603922291345,-803,46,1004
227,1603922291395,-311,-143,1248
228,1603922291445,24,-444,1711
229,1603922291495,-240,-54,1708
230,1603922291545,36,-497,1424
231,1603922291595,-2048,-1528,2047
232,1603922291645,-2048,-1996,2047
233,1603922291695,-2048,-2048,1969
234,1603922291745,-2048,-2048,1932
235,1603922291795,-1953,-1635,2047
236,1603922291845,5,-203,2047
237,1603922291895,-176,-694,2047
238,1603922291945,-1,-1524,2047
239,1603922291995,-276,-1928,2047
240,1603922292045,319,-1555,2047
241,1603922292095,237,-184,1177
242,1603922292145,-843,-455,1030
243,1603922292195,-1378,-967,896
244,1603922292245,-1562,-866,653
245,1603922292295,-1196,-1085,668
246,1603922292345,-1597,-452,1095
247,1603922292395,-2048,-160,1062
248,1603922292445,-2048,-1293,717
249,1603922292495,-2048,-1737,214
250,1603922292545,-2048,975,-769
251,1603922292595,-2048,-711,-2048
252,1603922292645,-2048,-929,-2048
253,1603922292695,-2048,-363,-2048
254,1603922292745,-1578,-1175,-988
255,1603922292795,-2048,61,1964
256,1603922292845,-2048,800,2047
257,1603922292895,-2048,254,512
258,1603922292945,-1498,-228,437
259,1603922292995,-558,-324,850
260,1603922293045,-169,-702,1261
261,1603922293095,-644,-67,1032
262,1603922293145,-160,77,1610
263,1603922293195,-49,-76,1703
264,1603922293245,143,-85,1325
265,1603922293295,-1262,-650,1484
266,1603922293345,-2048,-2048,2047
267,1603922293395,-2048,-2048,2047
268,1603922293445,37,-493,732
269,1603922293495,-1118,-220,2047
270,1603922293545,153,-1562,2047
271,1603922293595,29,-731,2047
272,1603922293645,-377,-909,2047
273,1603922293695,789,-1479,2047
274,1603922293745,494,-1613,2047
