,Time,Acc_x,Acc_y,Acc_z
630,1603922307072,-1421,-1029,680
631,1603922307122,-1098,-755,845
632,1603922307172,-1462,-244,1006
633,1603922307222,-2048,-1405,1135
634,1603922307272,-2048,-2048,802
635,1603922307322,-2048,371,-373
636,1603922307372,-2048,615,-2048
637,1603922307422,-2048,-791,-2048
638,1603922307472,-2048,460,-2048
639,1603922307522,-1845,-2048,-1946
640,1603922307572,-2048,-971,2047
641,1603922307622,-2048,1006,2047
642,1603922307672,-2048,2047,303
643,1603922307722,-228,478,2047
644,1603922307772,-411,2047,1029
645,1603922307822,-116,-691,1098
646,1603922307872,-449,-198,1081
647,1603922307922,-384,393,1253
648,1603922307972,5,58,1921
649,1603922308022,-175,491,1675
650,1603922308072,-277,-667,1638
651,1603922308122,-2048,-1269,2047
652,1603922308172,-2048,-2048,2047
653,1603922308222,-2048,-2048,1433
654,1603922308272,-2048,-2048,2047
655,1603922308322,-837,-1102,2047
656,1603922308372,232,-782,2047
657,1603922308422,-626,-1243,2047
658,1603922308472,258,-1587,2047
659,1603922308522,178,-2014,2047
660,1603922308572,190,-1768,2047
661,1603922308622,-110,-1156,1391
662,1603922308672,-763,-882,819
663,1603922308722,-1175,-1108,677
664,1603922308772,-1396,-889,634
665,1603922308822,-1296,-1138,677
666,1603922308872,-925,-793,868
667,1603922308922,-1664,-147,1072
668,1603922308972,-2048,-1611,1088
669,1603922309022,-2048,-1664,409
670,1603922309072,-2048,476,-694
671,1603922309122,-2048,211,-2048
672,1603922309172,-2048,-604,-2048
673,1603922309222,-2048,277,-2048
674,1603922309272,-2048,-2048,-1505
675,1603922309322,-2048,546,2047
676,1603922309372,-2048,-1473,2047
677,1603922309422,-2048,-175,2047
678,1603922309472,445,-1421,-1171
679,1603922309522,-742,785,896
680,1603922309572,-47,-936,1257
681,1603922309622,-563,-108,1072
682,1603922309672,-123,-82,1488
683,1603922309722,9,-75,2008
684,1603922309772,0,135,1919
685,1603922309822,-712,-777,1430
686,1603922309872,-2048,-1213,1990
687,1603922309922,-2048,-2048,1879
688,1603922309972,-2048,-2048,1026
689,1603922310022,-2048,-1763,2047
690,1603922310072,-893,-1943,2047
691,1603922310122,171,-1410,2047
692,1603922310172,390,-1148,2047
693,1603922310222,742,-1652,2047
694,1603922310272,-100,-1730,2047
695,1603922310322,35,-1783,2047
696,1603922310372,-231,-833,1541
697,1603922310422,-1254,-567,1087
698,1603922310472,-1450,-735,868
699,1603922310522,-1955,-998,850
700,1603922310572,-1870,-1205,782
701,1603922310622,-1649,-838,920
702,1603922310672,-1995,-177,1065
703,1603922310722,-2048,-1509,1024
704,1603922310772,-2048,-1180,777
705,1603922310822,-2048,1213,-1112
706,1603922310872,-2048,-476,-2048
707,1603922310922,-2048,63,-2048
708,1603922310972,-2048,-147,-2048
709,1603922311022,-2048,-1158,-1674
710,1603922311072,-2048,201,2047
711,1603922311122,-2048,-58,1414
712,1603922311172,-2048,963,-1418
713,1603922311222,-1100,-856,-1249
714,1603922311272,-378,242,914
715,1603922311322,-109,-981,1111
716,1603922311372,-396,57,1227
717,1603922311422,-38,-271,1625
718,1603922311472,287,87,1913
719,1603922311522,-239,260,1682
720,1603922311572,-736,-869,1765
721,1603922311622,-2048,-2048,1976
722,1603922311672,-2048,-2048,1664
723,1603922311722,1139,-1127,1333
724,1603922311772,-1444,-1218,2047
725,1603922311822,91,-1458,2047
726,1603922311872,125,-942,2047
727,1603922311922,-302,-1639,2047
728,1603922311972,492,-1850,2047
729,1603922312022,244,-1651,2047
730,1603922312072,-94,-1501,2047
731,1603922312122,-319,-1060,1388
732,1603922312172,-1288,-803,837
733,1603922312222,-1516,-931,554
734,1603922312272,-1784,-1184,640
735,1603922312322,-1315,-1220,592
736,1603922312372,-1402,-426,818
